parent_tree,parent_text,parent_type,left_tree,left_text,left_type,right_tree,right_text,right_type,cc_tree,cc_text,base_text,parent_funnel,left_funnel,right_funnel,same_type,same_funnel,clausal_coord,corrective,left_sent,base_sent,right_sent
"(S
  (S
    (NP (PRP$ my) (NN friend))
    (VP
      (VBD blamed)
      (NP (NP (PRP$ his) (NN father) (POS 's)) (NN bitterness))
      (PP (IN on) (NP (NN racism)))))
  (CC but)
  (S
    (NP (PRP i))
    (VP
      (VBD knew)
      (SBAR
        (S
          (NP (PRP he))
          (VP
            (VBD had)
            (RB not)
            (VP
              (VBN meant)
              (S
                (VP
                  (TO to)
                  (VP
                    (VB exploit)
                    (NP (PRP$ his) (JJ own) (NN pain))
                    (PP
                      (IN in)
                      (NP (DT this) (JJ silly) (NN experiment)))))))))))))",my friend blamed his father 's bitterness on racism but i knew he had not meant to exploit his own pain in this silly experiment,S,"(S
  (NP (PRP$ my) (NN friend))
  (VP
    (VBD blamed)
    (NP (NP (PRP$ his) (NN father) (POS 's)) (NN bitterness))
    (PP (IN on) (NP (NN racism)))))",my friend blamed his father 's bitterness on racism,S,"(S
  (NP (PRP i))
  (VP
    (VBD knew)
    (SBAR
      (S
        (NP (PRP he))
        (VP
          (VBD had)
          (RB not)
          (VP
            (VBN meant)
            (S
              (VP
                (TO to)
                (VP
                  (VB exploit)
                  (NP (PRP$ his) (JJ own) (NN pain))
                  (PP
                    (IN in)
                    (NP (DT this) (JJ silly) (NN experiment))))))))))))",i knew he had not meant to exploit his own pain in this silly experiment,S,(CC but),but,my friend blamed his father 's bitterness on racism but i knew he had not meant to exploit his own pain in this silly experiment,S,S,S,True,True,True,False,-0.9947305917739868,-0.9992640614509583,-0.9996716976165771
"(S
  (S
    (NP (PRP$ your) (NN father))
    (VP (VBD had) (NP (PDT all) (DT the) (JJ goddamn) (NNS chances))))
  (CC and)
  (S
    (NP (PRP you))
    (VP (VBP know) (SBAR (S (NP (PRP he)) (VP (VBD did)))))))",your father had all the goddamn chances and you know he did,S,"(S
  (NP (PRP$ your) (NN father))
  (VP (VBD had) (NP (PDT all) (DT the) (JJ goddamn) (NNS chances))))",your father had all the goddamn chances,S,"(S
  (NP (PRP you))
  (VP (VBP know) (SBAR (S (NP (PRP he)) (VP (VBD did))))))",you know he did,S,(CC and),and,your father had all the goddamn chances and you know he did,S,S,S,True,True,True,False,-0.9090558886528015,0.9381919503211975,0.8998417258262634
"(VP
  (VP
    (VBP sell)
    (NP (VBG printing) (NNS presses))
    (PP (IN to) (NP (JJ black) (NNS people))))
  (CC and)
  (VP (VBP make) (NP (NNS thousands))))",sell printing presses to black people and make thousands,VP,"(VP
  (VBP sell)
  (NP (VBG printing) (NNS presses))
  (PP (IN to) (NP (JJ black) (NNS people))))",sell printing presses to black people,VP,(VP (VBP make) (NP (NNS thousands))),make thousands,VP,(CC and),and,you sell printing presses to black people and make thousands and your father probably lives down in fat city florida all because you 're white,X,X,X,True,True,False,False,-0.7413259148597717,-0.754299521446228,0.9739547371864319
"(S
  (S
    (NP (PRP you))
    (VP
      (VP
        (VBP sell)
        (NP (VBG printing) (NNS presses))
        (PP (IN to) (NP (JJ black) (NNS people))))
      (CC and)
      (VP (VBP make) (NP (NNS thousands)))))
  (CC and)
  (S
    (NP (PRP$ your) (NN father))
    (ADVP (RB probably))
    (VP
      (VBZ lives)
      (ADVP (RP down))
      (PP (IN in) (NP (NML (JJ fat) (NN city)) (NNP florida)))
      (SBAR
        (ADVP (DT all))
        (IN because)
        (S (NP (PRP you)) (VP (VBP 're) (ADJP (JJ white))))))))",you sell printing presses to black people and make thousands and your father probably lives down in fat city florida all because you 're white,S,"(S
  (NP (PRP you))
  (VP
    (VP
      (VBP sell)
      (NP (VBG printing) (NNS presses))
      (PP (IN to) (NP (JJ black) (NNS people))))
    (CC and)
    (VP (VBP make) (NP (NNS thousands)))))",you sell printing presses to black people and make thousands,S,"(S
  (NP (PRP$ your) (NN father))
  (ADVP (RB probably))
  (VP
    (VBZ lives)
    (ADVP (RP down))
    (PP (IN in) (NP (NML (JJ fat) (NN city)) (NNP florida)))
    (SBAR
      (ADVP (DT all))
      (IN because)
      (S (NP (PRP you)) (VP (VBP 're) (ADJP (JJ white)))))))",your father probably lives down in fat city florida all because you 're white,S,(CC and),and,you sell printing presses to black people and make thousands and your father probably lives down in fat city florida all because you 're white,S,S,S,True,True,True,False,0.976477324962616,-0.754299521446228,-0.7624122500419617
(NP (NP (PRP$ my) (NN friend)) (CC and) (NP (PRP i))),my friend and i,NP,(NP (PRP$ my) (NN friend)),my friend,NP,(NP (PRP i)),i,NP,(CC and),and,when he was gone my friend and i could not look at the old man nor could we look at each other,X,X,X,True,True,False,False,0.9987623691558838,0.9572292566299438,0.7267126441001892
"(VP
  (VP
    (MD could)
    (RB not)
    (VP (VB look) (PP (IN at) (NP (DT the) (JJ old) (NN man)))))
  (CC nor)
  (SINV
    (MD could)
    (NP (PRP we))
    (VP (VB look) (PP (IN at) (NP (DT each) (JJ other))))))",could not look at the old man nor could we look at each other,VP,"(VP
  (MD could)
  (RB not)
  (VP (VB look) (PP (IN at) (NP (DT the) (JJ old) (NN man)))))",could not look at the old man,VP,"(SINV
  (MD could)
  (NP (PRP we))
  (VP (VB look) (PP (IN at) (NP (DT each) (JJ other)))))",could we look at each other,SINV,(CC nor),nor,when he was gone my friend and i could not look at the old man nor could we look at each other,X,X,S,False,False,False,False,-0.8702523708343506,0.9572292566299438,-0.8858355283737183
"(NP
  (NP (NP (DT an) (NN encounter)) (PP (IN of) (NP (NNS people))))
  (CC but)
  (PP
    (IN of)
    (NP (JJ historical) (NNS grudges) (CC and) (NNS guilts))))",an encounter of people but of historical grudges and guilts,NP,(NP (NP (DT an) (NN encounter)) (PP (IN of) (NP (NNS people)))),an encounter of people,NP,(PP (IN of) (NP (JJ historical) (NNS grudges) (CC and) (NNS guilts))),of historical grudges and guilts,PP,(CC but),but,it was not an encounter of people but of historical grudges and guilts,X,X,X,False,True,False,False,0.9846068620681763,-0.8310214281082153,-0.8906202912330627
(NP (JJ historical) (NNS grudges) (CC and) (NNS guilts)),historical grudges and guilts,NP,(NNS grudges),grudges,NNS,(NNS guilts),guilts,NNS,(CC and),and,it was not an encounter of people but of historical grudges and guilts,X,N,N,True,True,False,False,-0.9967893362045288,-0.8310214281082153,-0.9983789920806885
(NP (PRP$ his) (JJ own) (JJ racial) (NN pain) (CC and) (NN anger)),his own racial pain and anger,NP,(NN pain),pain,NN,(NN anger),anger,NN,(CC and),and,in achieving this the second thing my friend did was something he had not intended to do something that ultimately brought him as much shame as he was doling out he made a display of his own racial pain and anger,X,N,N,True,True,False,False,-0.9999357461929321,-0.9996165037155151,-0.9972922205924988
(NP (DT the) (NN pain) (CC and) (NN anger)),the pain and anger,NP,(NN pain),pain,NN,(NN anger),anger,NN,(CC and),and,-LRB- what brought him shame was not the pain and anger but his trading on them for what turned out to be a mere twenty bucks,X,N,N,True,True,False,False,-0.9999357461929321,0.7867096066474915,-0.9972922205924988
"(NP
  (NP (DT the) (NN pain) (CC and) (NN anger))
  (CC but)
  (NP
    (NP (PRP$ his) (NN trading))
    (PP (IN on) (NP (PRP them)))
    (PP
      (IN for)
      (SBAR
        (WHNP (WP what))
        (S
          (VP
            (VBD turned)
            (PRT (RP out))
            (S
              (VP
                (TO to)
                (VP
                  (VB be)
                  (NP (DT a) (JJ mere) (CD twenty) (NNS bucks)))))))))))",the pain and anger but his trading on them for what turned out to be a mere twenty bucks,NP,(NP (DT the) (NN pain) (CC and) (NN anger)),the pain and anger,NP,"(NP
  (NP (PRP$ his) (NN trading))
  (PP (IN on) (NP (PRP them)))
  (PP
    (IN for)
    (SBAR
      (WHNP (WP what))
      (S
        (VP
          (VBD turned)
          (PRT (RP out))
          (S
            (VP
              (TO to)
              (VP
                (VB be)
                (NP (DT a) (JJ mere) (CD twenty) (NNS bucks))))))))))",his trading on them for what turned out to be a mere twenty bucks,NP,(CC but),but,-LRB- what brought him shame was not the pain and anger but his trading on them for what turned out to be a mere twenty bucks,X,X,X,True,True,False,False,-0.960859477519989,0.7867096066474915,-0.9795739650726318
(NP (NN selfishness) (CC and) (NN escapism)),selfishness and escapism,NP,(NN selfishness),selfishness,NN,(NN escapism),escapism,NN,(CC and),and,when selfishness and escapism are at work we are no longer interested in the source of our guilt and therefore no longer concerned with an authentic redemption from it,X,N,N,True,True,False,False,-0.9967496395111084,-0.9997530579566956,0.9995725750923157
"(VP
  (VP
    (VBP are)
    (ADVP (RB no) (RBR longer))
    (ADJP
      (JJ interested)
      (PP
        (IN in)
        (NP
          (NP (DT the) (NN source))
          (PP (IN of) (NP (PRP$ our) (NN guilt)))))))
  (CC and)
  (ADVP (RB therefore))
  (ADVP (RB no) (RBR longer))
  (ADJP
    (JJ concerned)
    (PP
      (IN with)
      (NP
        (NP (DT an) (JJ authentic) (NN redemption))
        (PP (IN from) (NP (PRP it)))))))",are no longer interested in the source of our guilt and therefore no longer concerned with an authentic redemption from it,VP,"(VP
  (VBP are)
  (ADVP (RB no) (RBR longer))
  (ADJP
    (JJ interested)
    (PP
      (IN in)
      (NP
        (NP (DT the) (NN source))
        (PP (IN of) (NP (PRP$ our) (NN guilt)))))))",are no longer interested in the source of our guilt,VP,(ADVP (RB therefore)),therefore,ADVP,(CC and),and,when selfishness and escapism are at work we are no longer interested in the source of our guilt and therefore no longer concerned with an authentic redemption from it,X,X,X,False,True,False,False,-0.9999536275863647,-0.9997530579566956,0.7785567045211792
